lang,title,year
angol,"Az ellenállás melankóliája",1998
angol,"Az ellenállás melankóliája",2000
angol,"Az ellenállás melankóliája",2002
angol,"Az ellenállás melankóliája",2016
angol,"Háború és háború",2006
angol,"Háború és háború",2016
angol,"ÁllatVanBent",2010
angol,"ÁllatVanBent",2011
angol,"ÁllatVanBent",2012
angol,"Sátántangó",2012
angol,"Sátántangó",2012
angol,"Számla",2013
angol,"Seiobo járt odalent",2013
angol,"Seiobo járt odalent",2015
angol,"Rombolás és bánat az Ég alatt",2016
angol,"Rombolás és bánat az Ég alatt",2018
angol,"Az utolsó farkas / Herman, a vadőr",2016
angol,"Az utolsó farkas / Herman, a vadőr",2017
angol,"A Manhattan-terv",2017
angol,"Megy a világ",2017
angol,"Megy a világ",2018
angol,"Báró Wenckheim hazatér",2019
angol,"Báró Wenckheim hazatér",2019
angol,"Báró Wenckheim hazatér",2021
angol,"Mindig Homérosznak",2021
angol,"Herscht 07769",2024
angol,"Aprómunka egy palotáért",2022
bolgár,"Sátántangó",2001
cseh,"Sátántangó",2003
cseh,"Északról hegy, Délről tó, Nyugatról utak, Keletről folyó",2008
dán,"Az ellenállás melankóliája",2015
dán,"Sátántangó",2019
észt,"Az utolsó farkas",2018
francia,"Sátántangó",2000
francia,"Sátántangó",2017
francia,"Az ellenállás melankóliája",2006
francia,"Az ellenállás melankóliája",2016
francia,"Északról hegy, Délről tó, Nyugatról utak, Keletről folyó",2010
francia,"Északról hegy, Délről tó, Nyugatról utak, Keletről folyó",2014
francia,"Északról hegy, Délről tó, Nyugatról utak, Keletről folyó",2017
francia,"A Théseus-általános",2011
francia,"Megjött Ézsaiás",2013
francia,"Háború és háború",2013
francia,"Háború és háború",2015
francia,"Kegyelmi viszonyok",2015
francia,"Seiobo járt odalent",2018
francia,"Seiobo járt odalent",2019
francia,"Báró Wenckheim hazatér",2023
francia,"Báró Wenckheim hazatér",2024
francia,"A Manhattan-terv",2024 
galego,"Északról hegy, Délről tó, Nyugatról utak, Keletről folyó",2014
görög,"Háború és háború",2015
görög,"Az ellenállás melankóliája",2016
görög,"Sátántangó",2018
görög,"Seiobo járt odalent",2019
görög,"Herscht 07769",2023
héber,"Háború és háború",2011
héber,"Az ellenállás melankóliája",2017
holland,"Sátántangó",2012
holland,"Az ellenállás melankóliája",2016
holland,"Az ellenállás melankóliája",2020
holland,"Báró Wenckheim hazatér",2019
holland,"Herscht 07769",2023
holland,"Háború és háború",2022
horvát,"Az utolsó farkas",2012
horvát,"Háború és háború",2014
horvát,"Az ellenállás melankóliája",2014
horvát,"ÁllatVanBent",2014
horvát,"Seiobo járt odalent",2016
horvát,"Sátántangó",2016
horvát,"Megy a világ",2017
horvát,"Mindig Homérosznak",2019
izlandi,"Az utolsó farkas",2017
japán,"Északról hegy, Délről tó, Nyugatról utak, Keletről folyó",2006
koreai,"Sátántangó",2018
koreai,"Az ellenállás melankóliája",2019
kínai,"Sátántangó",2017
kínai,"Kegyelmi viszonyok",2020
kínai,"Kegyelmi viszonyok",2023
lengyel,"Sátántangó",2004
lengyel,"Az ellenállás melankóliája",2007
lengyel,"Háború és háború",2011
litván,"Az ellenállás melankóliája",2016
macedón,"Az ellenállás melankóliája",2016
macedón,"Seiobo járt odalent",2016
német,"Kegyelmi viszonyok",1988
német,"Sátántangó",1990
német,"Sátántangó",2007
német,"Sátántangó",2010
német,"Az ellenállás melankóliája",1992
német,"Az ellenállás melankóliája",1995
német,"Az ellenállás melankóliája",2011
német,"Az urgai fogoly",1993
német,"Az urgai fogoly",1996
német,"Az urgai fogoly",2015
német,"Háború és háború",1999
német,"Háború és háború",2006
német,"Északról hegy, Délről tó, Nyugatról utak, Keletről folyó",2005
német,"Északról hegy, Délről tó, Nyugatról utak, Keletről folyó",2007
német,"Seiobo járt odalent",2012
német,"Megy a világ",2015
német,"Báró Wenckheim hazatér",2018
német,"Herscht 07769",2021
norvég,"Sátántangó",2016
norvég,"Sátántangó",2018
norvég,"Seiobo járt odalent",2019
norvég,"Báró Wenckheim hazatér",2021
olasz,"Az ellenállás melankóliája",2013
olasz,"Az ellenállás melankóliája",2018
olasz,"Sátántangó",2016
olasz,"Báró Wenckheim hazatér",2019
olasz,"Háború és háború",2020
olasz,"Seiobo járt odalent",2021
olasz,"Herscht 07769",2022
olasz,"Megy a világ",2024
orosz,"Sátántangó",2018
orosz,"Az ellenállás melankóliája",2020
portugál,"Sátántangó",2018
román,"Sátántangó",2012
spanyol,"Az ellenállás melankóliája",2001
spanyol,"Északról hegy, Délről tó, Nyugatról utak, Keletről folyó",2005
spanyol,"Megjött Ézsaiás",2005
spanyol,"Megjött Ézsaiás",2009
spanyol,"Az utolsó farkas",2009
spanyol,"Háború és háború",2009
spanyol,"Seiobo járt odalent",2015
spanyol,"Sátántangó",2017
svéd,"Az ellenállás melankóliája",2014
svéd,"Sátántangó",2015
svéd,"Seiobo járt odalent",2017
svéd,"Az utolsó farkas",2020
svéd,"Herscht 07769",2023
szerb,"Az ellenállás melankóliája",2013
szerb,"Sátántangó",2016
szerb,"Megy a világ",2019
szlovén,"Megjött Ézsaiás",2015
szlovén,"Háború és háború",2015
szlovén,"Megy a világ",2020
török,"Sátántangó",2013
török,"Háború és háború",2014
török,"Seiobo járt odalent",2019
vietnami,"Háború és háború",2017
