19728,19729
39445,62352
43518,45285
49764,55828
59288,68668
59289,68669
59291,68670
15234,15235
36770,39362,49758
61053,62605
45220,56417
45278,46704,56424,57694
37514,39642
58394,65564
61069,64780
52195,54332
53950,62388
32370,32371
44972,49840,62324
43409,48494
46694,48510
58753,60469
61982,65594
55743,62187
49526,51703
53067,60128
36567,4242
68773,64731
64722,68664
50464,52398
55693,57096,60448
64302,66263
62609,64766
53119,55153
31053,31056
24390,14832
24402,14877
24422,15041
24426,15081
42602,51707
44708,64095
44082,48922
10174,37490
36830,39457,62395
48030,55884
48962,51117,56761
49036,58433
41085,42631
42892,62408
42453,44138
49841,62326
42461,44241
42462,44244
50314,52178
51300,53113
57777,61215
43432,45225,48516
43413,45222,48508
41661,42875
11814,45261
24391,38521
33790,36023
50984,52936
43220,43267
39676,43404
36055,53142
36057,53145
36060,53148
36062,53149
36066,53152
36069,53155
36071,53156
36074,53162
2702,2460
3101,2414
42596,63954
11596,37563
5382,13071
47114,49079,51305
45909,47673
46681,48480
46705,48554
51763,64078
52344,54549
55018,58309
60055,61916
49601,51785
61979,63881
41918,43380
41077,42600
42663,51838
41874,43358
2479,3126
39643,43359
41908,43383
39774,43512
42458,44160
2475,3125
7099,7100
6726,33097
6374,47704
43436,39740
37262,39585
37278,39617,43280
39691,43414
44673,45795
40371,43859,46937
61056,68804
45801,47523,49573
49629,62186
42601,51706
41082,51736
42751,42752
41775,43217
39285,42612
42619,51737
42885,62349
39768,41941,43505
6525,39393
11773,11925
49496,51683,55605
49654,51854
50447,56411
51171,56782
42622,45805
9942,50367
154,2468,15115,33947
38820,48986
34849,44313
91,8209
10991,11081
14871,24399
15058,33086
43516,41931
43398,46684
